"","gene","stat"
"1","CXCL12",-13.1511246080552
"2","PDGFRB",-12.898085441791
"3","TGFBR3",-12.645159243141
"4","LAMA2",-12.5904654086664
"5","MATN2",-12.4808061061865
"6","ECM2",-12.1043569156534
"7","PMP22",-12.0071346513859
"8","MYLK",-11.8978725099326
"9","FBLN5",-11.3355085054767
"10","ACTA2",-11.3063924508468
"11","SLIT3",-10.6405760238399
"12","DCN",-10.3330603536182
"13","TAGLN",-10.0573568983625
"14","CALD1",-9.93383786271106
"15","FGF2",-9.91569349697041
"16","COL6A2",-9.84536269738381
"17","EFEMP2",-9.48572187856865
"18","VIM",-9.37143692090665
"19","COL5A3",-9.22627121864081
"20","FBLN1",-9.13993440331911
"21","PCOLCE",-9.04909492170259
"22","FERMT2",-9.04140138405284
"23","MYL9",-8.99267319396979
"24","TIMP3",-8.97788719753217
"25","ABI3BP",-8.70454232743094
"26","COL16A1",-8.63751540099231
"27","FMOD",-8.50148715925495
"28","COL6A3",-8.34060318742292
"29","IGFBP4",-8.22838238736307
"30","GEM",-8.21317144341212
"31","MMP2",-8.18676605973887
"32","SLIT2",-8.12054750263308
"33","TGM2",-7.82159590092818
"34","GREM1",-7.73144374066636
"35","TPM2",-7.67074382594708
"36","MGP",-7.65639554272922
"37","FLNA",-7.48449148277769
"38","DAB2",-7.45148094700855
"39","TPM1",-7.06203064365869
"40","PRRX1",-7.03175820558336
"41","RHOB",-6.86854454167004
"42","FBN1",-6.84981067524903
"43","HTRA1",-6.58992739158905
"44","COL5A1",-6.27752191932143
"45","LRP1",-6.12542631255844
"46","SFRP4",-6.08244612662354
"47","MSX1",-5.90449935047935
"48","CAP2",-5.79411463211798
"49","NID2",-5.78905709381418
"50","THBS2",-5.76016196403176
"51","CDH11",-5.68153757722438
"52","SPOCK1",-5.62642537702239
"53","SFRP1",-5.46215288772439
"54","PCOLCE2",-5.39487709847605
"55","GADD45B",-5.29045943903891
"56","SGCD",-5.10111054152316
"57","FBLN2",-5.07860391388829
"58","BMP1",-4.9858065583233
"59","NT5E",-4.89632435437518
"60","LAMC1",-4.77908702231087
"61","ELN",-4.74707602213923
"62","EMP3",-4.51740120151474
"63","FSTL3",-4.42745057289729
"64","COL12A1",-4.40674867098876
"65","DPYSL3",-4.33243521211825
"66","COL1A1",-4.31549360748713
"67","COL1A2",-4.26586785662553
"68","FSTL1",-4.17594220168116
"69","COL3A1",-4.16412000866245
"70","SGCB",-4.15910462631676
"71","ITGB3",-4.05536835883888
"72","LGALS1",-4.00461507244412
"73","MFAP5",-3.84717227599906
"74","COL5A2",-3.75696410853155
"75","CRLF1",-3.7520959252876
"76","WIPF1",-3.64360051741976
"77","GAS1",-3.61024596041621
"78","P3H1",-3.60743388765201
"79","COL4A2",-3.38849291897729
"80","DST",-3.3875672104691
"81","MAGEE1",-3.36723808894029
"82","FAP",-3.26161790066054
"83","GJA1",-3.25953621272218
